['id', 'hip', 'hd', 'hr', 'gl', 'bf', 'proper', 'ra', 'dec', 'dist', 'pmra', 'pmdec', 'rv', 'mag', 'absmag', 'spect', 'ci', 'x', 'y', 'z', 'vx', 'vy', 'vz', 'rarad', 'decrad', 'pmrarad', 'pmdecrad', 'bayer', 'flam', 'con', 'comp', 'comp_primary', 'base', 'lum', 'var', 'var_min', 'var_max']
70666,70890,,,Gl 551,,Proxima Centauri,14.495985,-62.679485,1.2959,-3775.64,768.16,-16,11.01,15.447,M5Ve,1.807,-0.472264,-0.361451,-1.151219,-0.00001186,0.00002079,0.00001675,3.795039917,-1.093963385,-1.83048E-05,3.72414E-06,,,Cen,1,70666,,5.77032E-05,V645,11.079,10.939
71453,71681,128621,5460,Gl 559B,Alp2Cen,,14.660346,-60.8383,1.3248,-3678.19,481.84,-26.2,1.35,5.739,K1V,0.9,-0.495181,-0.413973,-1.156674,-0.00000722,0.00002476,0.00002491,3.838069571,-1.061828649,-1.78324E-05,2.33603E-06,Alp-2,,Cen,2,71456,Gl 559,0.440960816,,,
71456,71683,128620,5459,Gl 559A,Alp1Cen,Rigil Kentaurus,14.660765,-60.833976,1.3248,-3678.19,481.84,-26.2,-0.01,4.379,G2V,0.71,-0.495203,-0.414084,-1.156625,-0.00000722,0.00002476,0.00002491,3.838179212,-1.061753176,-1.78324E-05,2.33603E-06,Alp-1,,Cen,1,71456,Gl 559,1.543121066,,0.113,-0.087
87665,87937,,,Gl 699,,Barnard's Star,17.963472,4.693388,1.8238,-797.84,9999.99,-111,9.54,13.235,sdM4,1.57,-0.017373,-1.816613,0.149123,-0.00000591,0.0001204,0.00007888,4.702826032,0.081915079,-3.86804E-06,5.00664E-05,,,Oph,1,87665,,0.000442588,V2500,9.59,9.49
118720,,,,Gl 406,,,10.941484,7.01532,2.3906,-3822.95,-2716.83,13,13.45,16.557,M6,2,-2.282811,0.649334,0.292057,-0.00000433,0.00004728,-0.00002961,2.864473687,0.122440437,-1.85342E-05,-1.31716E-05,,,,1,118720,,2.07587E-05,,,
53879,54035,95735,,Gl 411,,Lalande 21185,11.055632,35.969877,2.5469,-580.2,-4767.09,-84.3,7.49,10.46,M2V,1.502,-1.998,0.504305,1.495504,0.00003587,-0.00000166,-0.00009828,2.894357577,0.627792793,-2.81289E-06,-2.31115E-05,,,UMa,1,53879,,0.005701643,,,
118079,,,,Gl 65A,,,1.650199,-17.949782,2.6267,3312.95,560.34,29,12.57,15.473,dM5.5e,1.85,2.270499,1.04697,-0.809963,0.00001,0.00005104,-0.00000236,0.432021069,-0.313282798,1.60616E-05,2.71661E-06,,,,1,118079,Gl  65,5.63378E-05,,,
118080,,,,Gl 65B,,,1.650199,-17.949782,2.6267,3312.95,560.34,32,12.7,15.603,dM5.5e,,2.270631,1.047031,-0.81001,0.00001265,0.00005226,-0.0000033,0.432021069,-0.313282798,1.60616E-05,2.71661E-06,,,,2,118079,Gl  65,4.99804E-05,,,
32263,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,0.00000953,-0.00001207,-0.00001221,1.76779537,-0.291751259,-2.64713E-06,-5.92966E-06,Alp,9,CMa,1,32263,Gl 244,22.82443312,,-1.333,-1.523
118441,,,,Gl 244B,,,6.752559,-16.71524,2.6371,-543.2,-1203.05,0,8.44,11.334,DA2,-0.03,-0.494379,2.476814,-0.75847,0.00000768,-0.00000297,-0.00001473,1.767815846,-0.291735967,-2.63351E-06,-5.83256E-06,,,CMa,2,32263,Gl 244,0.002549177,,,
92115,92403,,,Gl 729,,,18.830369,-23.836232,2.9698,637.55,-192.47,-12.1,10.37,13.006,M3.5Ve,1.51,0.585883,-2.652454,-1.200123,0.00000628,0.00001413,0.00000247,4.92977903,-0.416020736,3.09093E-06,-9.33121E-07,,,Sgr,1,92115,,0.000546512,V1216,10.408,10.338
